Layer,Name,GEOID,MEOD_2023,MEOD_2023_moe
(Indicator name),,,"Opioid-related overdose mortality (count of deaths), 2023",(90% margin of error)
(Definition),,,Number of Chicago residents who died from an opioid-related drug overdose.,
(Citation),,,Cook County Medical Examiner,
---,---,---,---,---
Community area,Rogers Park,1,26,
Community area,Norwood Park,10,2,
Community area,Jefferson Park,11,6,
Community area,Forest Glen,12,0,
Community area,North Park,13,1,
Community area,Albany Park,14,4,
Community area,Portage Park,15,12,
Community area,Irving Park,16,14,
Community area,Dunning,17,10,
Community area,Montclare,18,3,
Community area,Belmont Cragin,19,21,
Community area,West Ridge,2,5,
Community area,Hermosa,20,6,
Community area,Avondale,21,7,
Community area,Logan Square,22,13,
Community area,Humboldt Park,23,44,
Community area,West Town,24,16,
Community area,Austin,25,110,
Community area,West Garfield Park,26,24,
Community area,East Garfield Park,27,35,
Community area,Near West Side,28,17,
Community area,North Lawndale,29,44,
Community area,Uptown,3,24,
Community area,South Lawndale,30,19,
Community area,Lower West Side,31,11,
Community area,Loop,32,7,
Community area,Near South Side,33,6,
Community area,Armour Square,34,2,
Community area,Douglas,35,9,
Community area,Oakland,36,9,
Community area,Fuller Park,37,9,
Community area,Grand Boulevard,38,12,
Community area,Kenwood,39,4,
Community area,Lincoln Square,4,5,
Community area,Washington Park,40,7,
Community area,Hyde Park,41,9,
Community area,Woodlawn,42,18,
Community area,South Shore,43,50,
Community area,Chatham,44,25,
Community area,Avalon Park,45,6,
Community area,South Chicago,46,17,
Community area,Burnside,47,1,
Community area,Calumet Heights,48,6,
Community area,Roseland,49,29,
Community area,North Center,5,0,
Community area,Pullman,50,1,
Community area,South Deering,51,7,
Community area,East Side,52,5,
Community area,West Pullman,53,10,
Community area,Riverdale,54,4,
Community area,Hegewisch,55,1,
Community area,Garfield Ridge,56,8,
Community area,Archer Heights,57,2,
Community area,Brighton Park,58,8,
Community area,McKinley Park,59,2,
Community area,Lake View,6,9,
Community area,Bridgeport,60,7,
Community area,New City,61,23,
Community area,West Elsdon,62,4,
Community area,Gage Park,63,9,
Community area,Clearing,64,6,
Community area,West Lawn,65,7,
Community area,Chicago Lawn,66,29,
Community area,West Englewood,67,42,
Community area,Englewood,68,29,
Community area,Greater Grand Crossing,69,29,
Community area,Lincoln Park,7,3,
Community area,Ashburn,70,8,
Community area,Auburn Gresham,71,33,
Community area,Beverly,72,2,
Community area,Washington Heights,73,13,
Community area,Mount Greenwood,74,4,
Community area,Morgan Park,75,5,
Community area,O'Hare,76,1,
Community area,Edgewater,77,15,
Community area,Near North Side,8,15,
Community area,Edison Park,9,1,